,5-HT1A,5-HT1B,5-HT1D,5-HT1E,5-HT1F,5-HT2A,5-HT2B,5-HT2C,5-HT3,5-HT5A,5-HT6,5-HT7,Adrenergic Alpha1A,Adrenergic Alpha1B,Adrenergic Alpha2A,Adrenergic Alpha2B,Adrenergic Beta1,Adrenergic Beta2,CB1,CB2,Calcium Channel,Cholecystokinin A,Cholecystokinin B,DAT,DOPAMINE D1,DOPAMINE D2,DOPAMINE D2 Long,DOPAMINE D2 Short,DOPAMINE D3,DOPAMINE D4,DOPAMINE D5,DOR,GABA A,GABA B,Glutamate-AMPA,H1,H2,H3,H4,HERG,Imidazoline 1,KOR,M1,M2,M3,M4,M5,MOR,Monoamine Oxidase A,Monoamine Oxidase B,NET,NMDA,PAF Platelet activating factor,Prostaglandin E3,Prostaglandin E4,SERT,Sigma 1,Sigma 2,Sodium Channel,Substance P,TAAR1
25i-nbome,-3.255272505103306,-4.8151,-4.8151,-4.8151,-4.8151,0.2218487496163564,-4.8151,-0.6627578316815741,-4.8151,-4.8151,-4.8151,-4.8151,-2.568201724066995,-4.8151,-2.505149978319906,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-3.7323937598229686,-3.8260748027008264,-2.9542425094393248,-4.8151,-4.8151,-3.322219294733919,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-1.954242509439325,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-3.113943352306837,-4.8151,-4.8151,-4.8151,-4.8151,-3.0,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151
2c-b,-2.4401216031878037,-2.0187004986662433,-1.4199557484897578,-2.0773679052841563,-4.8151,-1.1573560154410691,-1.130333768495006,-1.7769431981946755,-4.0,-4.0,-2.505014240084107,-2.3211840273023143,-3.915575698540003,-4.8151,-3.7168043788730882,-4.8151,-4.0,-4.0,-4.0,-4.0,-4.8151,-4.8151,-4.8151,-4.190331698170292,-4.041392685158225,-4.136720567156407,-4.8151,-4.8151,-4.0,-4.0,-4.0,-4.0,-4.0,-4.8151,-4.8151,-4.079181246047625,-4.0,-4.0,-4.0,-4.8151,-3.333507728917455,-4.0,-4.0,-4.0,-2.9146604305892216,-4.0,-4.0,-4.0,-4.8151,-4.8151,-4.311753861055754,-4.0,-4.8151,-4.8151,-4.8151,-4.041392685158225,-4.0,-4.0,-4.8151,-4.8151,-3.1414497734004674
2c-c,-2.278753600952829,-4.8151,-4.8151,-4.8151,-4.8151,-1.1139433523068367,-4.8151,-1.954242509439325,-4.8151,-4.8151,-4.8151,-4.8151,-4.113943352306837,-4.8151,-2.724275869600789,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.477121254719663,-4.113943352306837,-3.322219294733919,-4.8151,-4.8151,-4.230448921378274,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.380211241711606,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.477121254719663,-4.8151,-4.8151,-4.8151,-4.8151,-4.380211241711606,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151
2c-d,-2.6434526764861874,-4.8151,-4.8151,-4.8151,-4.8151,-1.510545010206612,-4.8151,-2.1760912590556813,-4.8151,-4.8151,-4.8151,-4.8151,-4.079181246047625,-4.8151,-2.462397997898956,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.477121254719663,-4.380211241711606,-3.8512583487190755,-4.8151,-4.8151,-4.230448921378274,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.3979400086720375,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.477121254719663,-4.8151,-4.8151,-4.8151,-4.8151,-4.491361693834273,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151
2c-e,-2.5563025007672873,-4.8151,-4.8151,-4.8151,-4.8151,-1.021189299069938,-4.8151,-2.0,-4.8151,-4.8151,-4.8151,-4.8151,-3.8692317197309762,-4.8151,-2.041392685158225,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.477121254719663,-4.176091259055681,-3.505149978319906,-4.8151,-4.8151,-4.278753600952829,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.3979400086720375,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.518513939877887,-4.8151,-4.8151,-4.8151,-4.8151,-4.4623979978989565,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151
2c-i,-2.255272505103306,-4.8151,-4.8151,-4.8151,-4.8151,-0.5440680443502757,-4.8151,-1.6020599913279623,-4.8151,-4.8151,-4.8151,-4.8151,-3.7075701760979363,-4.8151,-1.845098040014257,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.477121254719663,-4.113943352306837,-3.4313637641589874,-4.8151,-4.8151,-3.6989700043360187,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-3.785329835010767,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.176091259055681,-4.8151,-4.8151,-4.8151,-4.8151,-3.690196080028514,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151
2c-p,-2.041392685158225,-4.8151,-4.8151,-4.8151,-4.8151,-0.9084850188786497,-4.8151,-1.6020599913279623,-4.8151,-4.8151,-4.8151,-4.8151,-3.5440680443502757,-4.8151,-1.954242509439325,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.6020599913279625,-3.9242792860618816,-3.361727836017593,-4.8151,-4.8151,-3.716003343634799,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.3222192947339195,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.2552725051033065,-4.8151,-4.8151,-4.8151,-4.8151,-4.278753600952829,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151
2c-t-2,-2.568201724066995,-4.8151,-4.8151,-4.8151,-4.8151,-0.9542425094393249,-4.8151,-1.8388490907372552,-4.8151,-4.8151,-4.8151,-4.8151,-4.230448921378274,-4.8151,-2.361727836017593,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.477121254719663,-4.176091259055681,-3.7075701760979363,-4.8151,-4.8151,-4.041392685158225,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.3979400086720375,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.477121254719663,-4.8151,-4.8151,-4.8151,-4.8151,-4.113943352306837,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151
2c-t-4,-2.6720978579357175,-4.8151,-4.8151,-4.8151,-4.8151,-1.4456042032735976,-4.8151,-2.113943352306837,-4.8151,-4.8151,-4.8151,-4.8151,-4.041392685158225,-4.8151,-2.255272505103306,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.477121254719663,-4.301029995663981,-4.204119982655925,-4.8151,-4.8151,-4.278753600952829,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.3979400086720375,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.230448921378274,-4.8151,-4.8151,-4.8151,-4.8151,-4.477121254719663,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151
2c-t-7,-2.716003343634799,-4.8151,-4.8151,-4.8151,-4.8151,-0.8129133566428556,-4.8151,-1.591064607026499,-4.8151,-4.8151,-4.8151,-4.8151,-4.113943352306837,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.531478917042255,-4.176091259055681,-3.6989700043360187,-4.8151,-4.8151,-3.8750612633917,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.3979400086720375,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.431363764158987,-4.8151,-4.8151,-4.8151,-4.8151,-4.079181246047625,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151
5-meo-dipt,-2.121887985103681,-3.710709565724337,-3.2350231594952237,-4.0,-4.8151,-4.0,-2.2121876044039577,-4.8151,-4.0,-4.0,-4.0,-3.090258052931316,-4.0,-4.8151,-4.0,-3.723701893991268,-4.0,-4.0,-4.0,-4.0,-4.8151,-4.8151,-4.8151,-4.0,-4.0,-4.0,-4.8151,-4.8151,-4.0,-4.0,-4.0,-4.0,-4.0,-4.8151,-4.8151,-4.0,-4.0,-4.0,-4.0,-4.8151,-2.8805277781988052,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.8151,-4.8151,-4.0,-4.0,-4.8151,-4.8151,-4.8151,-3.4032921451582543,-3.9751099896861612,-4.8151,-4.8151,-4.8151,-4.8151
5-meo-dmt,-0.2787536009528289,-1.8692317197309762,-0.7993405494535817,-2.5565437084835145,-4.8151,-2.84980316789265,-3.113943352306837,-2.3832766504076504,-4.0,-2.441852175773292,-1.550228353055094,-0.5910646070264992,-4.0,-4.8151,-3.2764618041732443,-3.4216039268698313,-4.0,-4.0,-4.0,-4.0,-4.8151,-4.8151,-4.8151,-4.8151,-1.9003671286564703,-3.551693915127225,-4.8151,-4.8151,-2.6968803716827625,-3.494154594018443,-4.0,-4.8151,-4.0,-4.8151,-4.8151,-4.8151,-4.0,-4.8151,-4.8151,-4.8151,-3.3975924340381165,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.8151,-4.8151,-4.8151,-3.456214155357989,-4.0,-4.8151,-4.8151,-4.8151,-3.307923703611882,-4.0,-4.0,-4.8151,-4.8151,-4.8151
5-meo-mipt,-1.089905111439398,-4.8151,-1.3521825181113625,-3.5435714239623652,-4.8151,-2.651568738865792,-1.7671558660821804,-3.339650157613684,-4.0,-2.9790473269479647,-2.114610984232173,-1.2966651902615312,-4.0,-4.8151,-2.2430380486862944,-3.2286569581089353,-4.0,-4.0,-4.8151,-4.0,-4.8151,-4.8151,-4.8151,-4.0,-4.0,-4.0,-4.8151,-4.8151,-3.392696953259666,-3.801472313521471,-4.8151,-4.0,-4.8151,-4.8151,-4.8151,-3.6829569263012085,-4.0,-4.0,-4.0,-4.8151,-2.9441864612836874,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.8151,-4.8151,-4.8151,-4.0,-4.0,-4.8151,-4.8151,-4.8151,-3.8067902715840667,-4.0,-2.962795369857233,-4.8151,-4.8151,-4.8151
5-meo-tmt,-2.3010299956639813,-4.0,-2.3979400086720375,-3.255272505103306,-4.8151,-4.0,-4.8151,-3.60422605308447,-4.8151,-4.0,-1.7781512503836436,-2.161368002234975,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.0,-4.0,-4.0,-4.8151,-4.8151,-4.0,-4.0,-4.0,-4.0,-4.8151,-4.8151,-4.8151,-4.0,-4.8151,-4.0,-4.0,-4.8151,-4.8151,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.8151,-4.8151,-3.8048206787211623,-4.8151,-4.8151,-4.8151,-4.8151,-4.0,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151
alprazolam,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-1.5399120845791179,-4.8151,-4.8151,-4.0,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-3.560683591907453,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151
amphetamine,-3.82865989653532,-4.8151,-4.8151,-4.8151,-4.8151,-4.113943352306837,-4.8151,-4.113943352306837,-4.8151,-4.8151,-4.8151,-4.8151,-3.7781512503836434,-4.8151,-3.4471580313422194,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-3.754348335711019,-4.133538908370218,-4.477121254719663,-4.8151,-4.8151,-4.247973266361806,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.158362492095249,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-3.0,-4.8151,-4.8151,-4.8151,-4.8151,-4.3979400086720375,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151
aripiprazole,-1.0679073785805417,-2.919862253555538,-1.816241299991783,-3.9030899869919438,-4.8151,-1.4912993743153644,0.44369749923271273,-1.8650243646294453,-2.798650645445269,-3.093596768608228,-2.6490959415293416,-1.2627899851685418,-1.4124605474299614,-1.5314789170422551,-1.8698182079793282,-2.010017120757524,-2.1492191126553797,-2.2121876044039577,-4.0,-4.8151,-4.8151,-4.8151,-4.8151,-3.507518555576424,-2.917303211758906,-0.9008022386656253,0.13076828026902382,-4.8151,-1.3836665494090579,-2.392277025347272,-3.3589495541954792,-4.0,-4.0,-4.0,-4.8151,-1.5495278510367025,-4.0,-2.3502480183341627,-4.0,-4.8151,-4.8151,-4.0,-3.8308584913945007,-3.5467537505337097,-3.670045163887599,-3.181986424480151,-3.36707624226875,-4.0,-4.8151,-4.8151,-3.320457868916649,-3.6021685513789974,-4.8151,-4.0,-4.0,-3.033691755792834,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151
bupropion,-4.0,-4.8151,-4.8151,-4.8151,-4.8151,-4.0,-4.8151,-4.0,-4.8151,-4.8151,-4.8151,-4.8151,-4.204119982655925,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-2.890607291367314,-4.0,-4.0,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.0,-4.8151,-4.8151,-3.8245380118318586,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.0,-4.0,-4.0,-4.0,-4.0,-4.8151,-4.8151,-4.8151,-4.0,-4.8151,-4.8151,-4.8151,-4.8151,-4.0,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151
cocaine,-4.1249387366083,-3.5304558435846762,-4.0,-4.0,-4.8151,-4.0,-4.8151,-4.041392685158225,-3.7022294276288252,-4.0,-4.0,-4.0,-3.3205616801952367,-4.0,-4.301029995663981,-4.8151,-4.0,-4.0,-4.0,-4.8151,-4.8151,-4.8151,-4.8151,-3.1407318889716764,-4.049218022670182,-4.0,-4.8151,-4.8151,-4.247973266361806,-4.0,-4.0,-4.0,-4.0,-4.0,-4.8151,-3.9174529919296637,-4.0,-4.0,-4.0,-4.8151,-4.8151,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.8151,-4.8151,-3.5653016569228186,-4.8151,-4.8151,-4.8151,-4.8151,-2.642563437104388,-3.7151673578484576,-4.285557309007774,-4.8151,-4.8151,-4.8151
diphenhydramine,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-3.113943352306837,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-1.101532278708839,-4.8151,-4.0,-4.0,-4.8151,-4.8151,-4.8151,-2.0,-2.0791812460476247,-2.359835482339888,-2.0492180226701815,-2.4149733479708178,-4.8151,-4.8151,-4.8151,-2.591064607026499,-4.8151,-4.8151,-4.8151,-4.8151,-3.7075701760979363,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151
dipt,-2.080987046910887,-4.8151,-3.573103783163991,-4.0,-4.8151,-4.0,-2.600428325732131,-4.0,-4.0,-4.0,-4.0,-3.534406899137877,-4.0,-4.8151,-4.0,-3.4578818967339924,-4.0,-4.0,-4.0,-4.0,-4.8151,-4.8151,-4.8151,-4.0,-4.0,-4.0,-4.8151,-4.8151,-3.5212688755983854,-4.0,-4.0,-4.0,-4.0,-4.8151,-4.8151,-3.5542468081661105,-4.0,-4.8151,-4.0,-4.8151,-2.5514499979728753,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.8151,-4.8151,-4.0,-4.0,-4.8151,-4.8151,-4.8151,-3.09968064110925,-3.25478968739721,-3.4551495211798278,-4.8151,-4.8151,-4.8151
dmt,-2.378057055032484,-3.342422680822206,-2.3395706820014386,-2.6586790285824486,-4.8151,-3.0062214726344885,-2.7403626894942437,-2.220108088040055,-4.0,-2.786041210242554,-2.4435758797502576,-1.9420080530223132,-3.241795431295199,-4.8151,-3.1934029030624176,-2.4111144185509046,-4.0,-4.0,-4.0,-4.0,-4.8151,-4.8151,-4.8151,-4.0,-2.4331295175804857,-4.0,-4.8151,-4.8151,-4.0,-4.0,-4.0,-4.8151,-4.0,-4.8151,-4.8151,-4.8151,-4.0,-4.0,-4.0,-4.8151,-2.8131137540078988,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.8151,-4.8151,-4.8151,-4.0,-4.8151,-4.8151,-4.8151,-4.8151,-3.573103783163991,-3.716754357432697,-4.0,-4.8151,-4.8151,-4.8151
dob,-3.664852804739416,-2.919601023784111,-3.281503787551614,-2.7450747915820575,-4.8151,-1.8390798139467068,-1.4883230904227092,-2.001949941084268,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151
doi,-3.371990911464915,-3.1007150865730817,-3.0939047441429763,-3.0056094453602804,-3.3999988880179206,-1.778709270352931,-1.378761175316373,-1.503247256199387,-4.0,-3.0,-4.0,-3.7611005389581424,-4.0,-4.8151,-1.8674674878590516,-2.531478917042255,-2.7715139899796664,-2.141763230275788,-4.0,-4.0,-4.8151,-4.8151,-4.8151,-4.0,-3.986211715514367,-4.0,-4.8151,-4.8151,-4.0,-4.0,-4.0,-4.0,-4.0,-4.8151,-4.8151,-3.244771761495295,-4.0,-4.0,-4.0,-4.8151,-4.0,-4.0,-3.4345689040341987,-3.2986347831244354,-3.1547282074401557,-2.7617023675414125,-3.3439990690571615,-4.0,-4.8151,-4.8151,-4.0,-4.0,-4.8151,-4.8151,-4.8151,-2.8355003278673188,-3.9327273673015295,-3.9624640460579013,-4.8151,-4.8151,-4.8151
dom,-4.030741360626946,-3.3144992279731516,-2.3199384399803087,-3.549248556854056,-4.8151,-2.2970671287278916,-1.0681858617461617,-3.1803677199755738,-4.0,-4.0,-3.9114239653762946,-3.2016701796465816,-3.5077209766856137,-4.8151,-2.7633531087482153,-2.9413623357117613,-4.0,-1.6893088591236203,-4.8151,-4.0,-4.8151,-4.8151,-4.8151,-4.0,-4.0,-4.0,-4.8151,-4.8151,-4.0,-4.0,-4.0,-4.0,-4.0,-4.8151,-4.8151,-4.0,-4.0,-4.0,-4.0,-4.8151,-4.0,-4.0,-4.0,-4.0,-4.8151,-4.8151,-4.0,-4.0,-4.8151,-4.8151,-4.0,-4.0,-4.8151,-4.8151,-4.8151,-4.0,-4.0,-4.0,-4.8151,-4.8151,-4.8151
