,5-HT1A,5-HT1B,5-HT1D,5-HT1E,5-HT1F,5-HT2A,5-HT2B,5-HT2C,5-HT3,5-HT5A,5-HT6,5-HT7,Adrenergic Alpha1A,Adrenergic Alpha1B,Adrenergic Alpha2A,Adrenergic Alpha2B,Adrenergic Beta1,Adrenergic Beta2,CB1,CB2,Calcium Channel,Cholecystokinin A,Cholecystokinin B,DAT,DOPAMINE D1,DOPAMINE D2,DOPAMINE D2 Long,DOPAMINE D2 Short,DOPAMINE D3,DOPAMINE D4,DOPAMINE D5,DOR,GABA A,GABA B,Glutamate-AMPA,H1,H2,H3,H4,HERG,Imidazoline 1,KOR,M1,M2,M3,M4,M5,MOR,Monoamine Oxidase A,Monoamine Oxidase B,NET,NMDA,PAF Platelet activating factor,Prostaglandin E3,Prostaglandin E4,SERT,Sigma 1,Sigma 2,Sodium Channel,Substance P,TAAR1
dpt,-1.5024271199844328,-2.9316612396844812,-2.79155030502733,-3.3688445068258215,-4.8151,-3.4114513421379375,-1.6232492903979006,-3.1950689964685903,-4.0,-3.640779477344857,-3.657342736814626,-2.453165392525857,-2.9448773059636952,-4.8151,-2.6604860157849677,-2.530583859645118,-4.0,-4.0,-4.0,-4.0,-4.8151,-4.8151,-4.8151,-3.1760912590556813,-4.0,-3.9660947794461707,-4.8151,-4.8151,-3.133858125203335,-3.3040594662175993,-4.0,-4.0,-4.0,-4.8151,-4.8151,-2.0972573096934197,-4.0,-4.0,-4.0,-4.8151,-2.531478917042255,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.8151,-4.8151,-4.0,-4.0,-4.8151,-4.8151,-4.8151,-2.19506899646859,-2.598571663482141,-3.4649364291217326,-4.8151,-4.8151,-4.8151
dxm,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.0,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-3.845098040014257,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-3.1072099696478683,-4.8151,-4.8151,-2.380211241711606,-4.8151,-4.8151,-4.8151,-4.8151,-1.3617278360175928,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151
haloperidol,-3.4366687014637747,-3.9208187539523753,-3.8442441226239614,-3.8750612633917,-3.6989700043360187,-2.029582195886262,-3.0805904144535012,-3.803765637242969,-3.9208187539523753,-3.351603072419129,-3.6813975272920803,-2.758828834777379,-1.2471546148811266,-0.8808135922807914,-2.840106094456758,-2.681241237375587,-4.0,-4.0,-4.0,-4.8151,-4.8151,-3.0,-3.0,-4.0,-2.357585738858658,-0.5649631522346329,-0.13869733197980819,-0.5546102852261641,-0.9199051348580368,-0.5771086551437349,-2.113943352306837,-3.0,-4.0,-4.0,-4.0,-3.1776200014409333,-3.0013009330204183,-5.0,-4.740362689494244,-4.8151,-4.8151,-3.0,-3.7071457961664693,-3.8203340699223753,-3.8885103737668234,-3.855317205195943,-3.726604970113563,-3.0,-4.8151,-4.8151,-3.546110621749425,-4.0,-3.0,-4.0,-4.0,-3.402777069610347,-0.6258267132857112,-1.4252896164467943,-3.5563025007672873,-3.0,-4.8151
hydrocodone,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.0,-4.8151,-4.8151,-4.8151,-4.8151,-4.0,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-2.983175072037813,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-2.699837725867246,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-1.0453229787866574,-4.8151,-4.8151,-4.0,-4.8151,-4.8151,-4.8151,-4.8151,-4.0,-3.6020599913279625,-4.8151,-4.8151,-4.8151,-4.8151
hydromorphone,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.0,-4.8151,-4.8151,-4.8151,-4.8151,-4.0,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-1.5797835966168101,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-0.4471580239462276,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,0.5528419668087828,-4.8151,-4.8151,-4.0,-4.8151,-4.8151,-4.8151,-4.8151,-4.0,-4.0,-4.8151,-4.8151,-4.8151,-4.8151
ibogaine,-4.0,-4.0,-4.0,-4.8151,-4.8151,-4.0,-4.8151,-4.0,-4.0,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.0,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.0,-4.0,-4.8151,-4.8151,-4.0,-4.0,-4.8151,-4.0,-4.0,-4.8151,-4.8151,-4.0,-4.8151,-4.8151,-4.8151,0.14874165128092473,-4.8151,-3.4340896384178907,-4.0,-4.595595414820133,-4.096910013008056,-4.8151,-4.8151,-3.6396856612426816,-4.8151,-4.8151,-4.8151,-3.3012470886362113,-4.8151,-4.8151,-4.8151,-4.8151,-3.7663384752512874,-2.3138672203691533,-4.8151,-4.8151,-4.8151
ketamine,-4.0,-4.0,-4.0,-4.0,-4.8151,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.8151,-4.8151,-4.8151,-4.8151,-4.0,-4.0,-4.0,-4.0,-4.8151,-4.8151,-4.8151,-4.0,-4.0,-4.0,-4.8151,-4.8151,-4.0,-4.0,-4.0,-4.0,-4.8151,-4.8151,-4.8151,-4.0,-4.0,-4.8151,-4.8151,-4.8151,-4.8151,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.8151,-4.8151,-4.0,-2.610367341398629,-4.8151,-4.8151,-4.8151,-4.0,-4.0,-4.8151,-4.8151,-4.8151,-4.8151
lsd,-0.41527694426553247,-1.9459607035775686,-1.1186779856904627,-1.968482948553935,-4.8151,-0.531769123856865,-1.226797706305839,-0.974383353091438,-4.0,-0.9542425094393249,-0.5185012681888972,-2.019157847739282,-2.8260748027008264,-4.8151,-1.0791812460476249,-4.8151,-2.146128035678238,-2.8692317197309762,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.0,-2.405403283235218,-1.3010299956639813,-4.8151,-4.8151,-1.4329692908744058,-2.5185139398778875,-2.531478917042255,-4.8151,-4.8151,-4.8151,-4.8151,-3.12057393120585,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-3.7481880270062002,-4.8151,-4.8151,-4.8151,-4.8151,-4.477121254719663,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151
mda,-4.8151,-4.0,-4.8151,-4.8151,-4.8151,-3.834738518903841,-4.8151,-3.4671639659690903,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.0,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151
mdma,-4.030734616976169,-4.0,-4.0,-4.0,-4.8151,-3.9647309210536292,-2.7781512503836434,-4.060697840353612,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-3.4034637013453173,-3.251638220448212,-4.0,-4.0,-4.0,-4.8151,-4.8151,-4.8151,-4.8151,-4.0,-4.049218022670182,-4.0,-4.8151,-4.8151,-4.0,-4.0,-4.0,-4.8151,-4.0,-4.0,-4.8151,-3.7941626105391055,-4.0,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.0,-4.0,-3.267406418752904,-3.9161906599805376,-3.802020751771976,-4.8151,-4.8151,-4.8151,-4.226170123398999,-4.8151,-4.8151,-4.0,-4.0,-4.045322978786658,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151
mescaline,-3.662757831681574,-4.8151,-4.8151,-4.8151,-4.8151,-3.7993405494535817,-4.0,-4.230448921378274,-4.8151,-4.8151,-4.8151,-4.8151,-4.176091259055681,-4.8151,-3.146128035678238,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.477121254719663,-4.146128035678238,-4.0,-4.8151,-4.8151,-4.230448921378274,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.3979400086720375,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.477121254719663,-4.8151,-4.8151,-4.8151,-4.8151,-4.477121254719663,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151
methadone,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.0,-3.4313637641589874,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-2.6384892569546374,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-2.8466463285771173,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-0.8296253533580494,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151
methamphetamine,-3.90687353472207,-4.8151,-4.8151,-4.8151,-4.8151,-4.113943352306837,-4.8151,-4.113943352306837,-4.8151,-4.8151,-4.8151,-4.8151,-3.7781512503836434,-4.8151,-3.785329835010767,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-3.2671717284030137,-4.133538908370218,-4.477121254719663,-4.8151,-4.8151,-4.247973266361806,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.158362492095249,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-3.6314437690131722,-4.8151,-4.8151,-4.8151,-4.8151,-4.426511261364575,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151
mirtazapine,-3.5229655954919865,-3.5482665451707454,-2.9800033715837464,-2.862131379313037,-2.765668554759014,-0.3010299956639812,-4.8151,-1.6020599913279623,-2.230448921378274,-2.8260748027008264,-4.8151,-2.423245873936808,-3.258876629372131,-4.8151,-1.3010299956639813,-1.9444826721501687,-4.0,-4.0,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.0,-3.619823500457278,-3.164352855784437,-4.8151,-4.8151,-3.757623745908389,-3.401055725771844,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,0.041374789899025745,-4.8151,-4.919999999999999,-5.0,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-3.214843848047698,-4.8151,-4.8151,-4.8151,-4.8151,-4.0,-4.8151,-4.8151,-3.8391636829146503,-4.8151,-4.8151
morphine,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-3.0,-4.8151,-4.8151,-4.8151,-4.8151,-4.0,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-2.6102519331689917,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-2.1265642948950374,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-0.5566313871759646,-4.8151,-4.8151,-4.0,-4.8151,-4.8151,-4.8151,-4.8151,-4.0,-4.0,-4.8151,-4.8151,-4.8151,-4.8151
olanzapine,-3.307560214621736,-3.3227360044699497,-3.1992064791616577,-3.344195715871435,-2.4913616938342726,-0.5726201213431155,-1.5145477526602862,-1.2224673055425217,-2.6201360549737576,-3.0835026198302673,-0.9314302126698705,-2.201055735999799,-2.037426497940624,-2.419955748489758,-2.519827993775719,-1.912753303671323,-4.0,-4.0,-4.0,-4.8151,-4.8151,-3.0,-3.0,-4.0,-1.911772031594504,-1.6621006163589416,-1.4913616938342726,-1.4588895409955471,-1.6884198220027107,-1.1309766916056172,-1.9138138523837167,-3.0,-4.0,-4.0,-4.8151,-0.6487093748002558,-1.6434526764861874,-5.0,-4.130051168404973,-3.7790912038454993,-4.8151,-3.0,-1.0456007271899503,-1.683188947426247,-1.6769707075544424,-1.2108533653148932,-1.3010299956639813,-3.0,-4.8151,-4.8151,-3.600537294364469,-4.0,-3.0,-4.0,-4.0,-3.5653755027140734,-3.6989700043360187,-4.8151,-3.6989700043360187,-3.0,-4.8151
oxycodone,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.0,-4.8151,-4.8151,-4.8151,-4.8151,-4.0,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-2.954724790979063,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-3.0058237530290275,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-1.1253185781235264,-4.8151,-4.8151,-4.0,-4.8151,-4.8151,-4.8151,-4.8151,-4.0,-4.0,-4.8151,-4.8151,-4.8151,-4.8151
paroxetine,-4.0,-4.0,-3.689999273452672,-4.8151,-4.8151,-3.900577396458039,-4.0,-3.9929509605704463,-3.4199986804229274,-4.8151,-4.8151,-4.8151,-3.0,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-2.2624510897304293,-4.0,-4.0,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.02192700685091,-4.8151,-4.980000000000002,-4.640000000000004,-4.8151,-4.8151,-4.8151,-1.8573324964312685,-2.531478917042255,-1.9030899869919435,-2.505149978319906,-2.8129133566428557,-4.8151,-4.8151,-4.8151,-1.6826864782497681,-4.8151,-4.8151,-4.8151,-4.8151,0.5301779923579967,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151
pcp,-4.0,-4.0,-4.0,-4.0,-4.8151,-4.8151,-4.8151,-4.8151,-3.426673888021373,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-3.94423584379348,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-1.765668554759014,-4.8151,-4.8151,-4.8151,-3.34908316877959,-4.8151,-2.1335389083702174,-4.8151,-4.8151,-4.8151
psilocin,-1.6901960800285136,-4.8151,-4.8151,-4.8151,-4.8151,-1.2671717284030137,-2.6532125137753435,-1.0,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151
quetiapine,-2.861693682697956,-3.716003343634799,-4.0,-3.2615007731982804,-3.3502480183341627,-2.5921138139652813,-4.8151,-3.220473503966752,-3.3299999999999934,-3.494154594018443,-3.2402826309221417,-2.888002383391248,-1.3424226808222062,-1.591064607026499,-3.5599066250361124,-2.8732043092770407,-4.0,-4.0,-4.0,-4.8151,-4.8151,-3.0,-3.0,-4.0,-3.2221092481637466,-1.9768083373380663,-2.845098040014257,-2.6483600109809315,-2.620656479819621,-3.265808017686357,-3.2109869738321453,-3.0,-3.0,-4.0,-4.8151,-1.009417457305969,-4.0,-4.0,-4.0,-3.7607993116307177,-4.8151,-3.0,-2.4210665583976247,-2.937844968170833,-3.6345798287720874,-2.6459132750338443,-3.3919930722597127,-3.0,-4.8151,-4.8151,-3.7403626894942437,-4.8151,-3.0,-4.0,-4.0,-4.0,-2.342422680822206,-4.8151,-3.6989700043360187,-3.0,-4.8151
risperidone,-2.6127260753397046,-3.428404793715386,-2.0,-3.7528164311882715,-3.093421685162235,0.5854495775468233,-2.064832219738574,-1.5101712120358184,-3.8750612633917,-2.313360951244128,-3.1797629870038757,-0.5586853946067837,-0.7522222186631307,-0.9542425094393249,-1.2174839442139063,-2.03261876085072,-4.0,-4.0,-4.0,-4.8151,-4.8151,-3.0,-3.0,-4.0,-3.141714485174227,-0.7470663757887503,-0.6190933306267428,-0.675167089663394,-0.6830470416759907,-0.8527848686805478,-2.4616485680634552,-3.0,-3.0,-4.0,-4.8151,-1.585115488267665,-2.0791812460476247,-5.0,-4.740362689494244,-2.2227164711475833,-4.8151,-3.0,-3.847421672500624,-3.8731163426314033,-3.9868736282320474,-3.8827142276202253,-4.0,-3.0,-4.8151,-4.8151,-3.739150238250513,-4.0,-3.0,-4.0,-4.0,-4.0,-2.9777236052888476,-4.8151,-3.586587304671755,-3.0,-4.8151
salvia,-4.0,-4.0,-4.0,-4.0,-4.8151,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.8151,-4.8151,-4.0,-4.0,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.0,-4.0,-4.0,-4.8151,-4.8151,-4.0,-4.0,-4.0,-3.8750612633917,-4.0,-4.8151,-4.8151,-4.0,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-0.40654018043395523,-4.0,-4.0,-4.0,-4.0,-4.0,-3.8750612633917,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.0,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151
sertraline,-3.8969485490064124,-4.8151,-4.8151,-4.8151,-4.8151,-3.591324363634689,-4.8151,-3.156145156435762,-4.8151,-4.8151,-4.8151,-4.8151,-2.4533183400470375,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-2.697025810377368,-3.7993405494535817,-4.0,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-3.823148059810694,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-2.630427875025024,-3.322219294733919,-3.113943352306837,-3.146128035678238,-3.278753600952829,-4.8151,-4.8151,-4.8151,-2.9307453283111133,-4.8151,-4.8151,-4.8151,-4.8151,-1.3907585287387172,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151
thc,-4.0,-4.0,-4.0,-4.8151,-4.8151,-4.0,-2.8836614351536176,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.8151,-4.0,-4.0,-4.0,-4.0,-1.0081741840064264,-1.2265999052073575,-4.8151,-4.8151,-4.8151,-3.197280558125619,-4.0,-4.0,-4.8151,-4.8151,-4.0,-4.0,-4.0,-4.0,-4.0,-4.8151,-4.8151,-4.0,-4.0,-4.0,-4.0,-4.8151,-4.8151,-4.0,-3.2234959409623944,-4.0,-4.0,-4.0,-4.0,-4.0,-4.8151,-4.8151,-4.0,-4.8151,-4.8151,-4.8151,-4.8151,-4.0,-4.0,-4.0,-4.8151,-4.8151,-4.8151
tma-2,-4.230448921378274,-4.8151,-4.8151,-4.8151,-4.8151,-3.113943352306837,-4.8151,-3.724275869600789,-4.8151,-4.8151,-4.8151,-4.8151,-3.8129133566428557,-4.8151,-3.6720978579357175,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-3.929418925714293,-4.8151,-4.113943352306837,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-3.9395192526186187,-4.8151,-4.8151,-4.8151,-4.8151,-3.8750612633917,-4.8151,-4.8151,-4.8151,-4.8151,-3.574031267727719
venlafaxine,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.8151,-3.4459154139511234,-4.0,-3.7403626894942437,-3.0,-4.0,-3.0,-3.0,-3.0,-4.8151,-4.8151,-4.8151,-3.0,-3.0,-3.9280628337920085,-3.0,-4.0,-4.8151,-4.8151,-4.0,-4.8151,-4.8151,-4.8151,-3.0,-4.8151,-3.0,-4.0,-3.0,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-3.0,-3.0,-4.0,-4.0,-4.0,-3.0,-4.0,-4.0,-3.321038138653557,-4.8151,-4.8151,-4.8151,-4.8151,-1.9056879677118521,-3.0,-3.0,-4.8151,-4.8151,-4.8151
